dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
2006-01-01,26.586,0.217,Amazonas,Brazil
2006-02-01,26.6,0.1689999999999999,Amazonas,Brazil
2006-03-01,26.796,0.257,Amazonas,Brazil
2006-04-01,26.599,0.368,Amazonas,Brazil
2006-05-01,25.754,0.5,Amazonas,Brazil
2006-06-01,26.508000000000003,0.422,Amazonas,Brazil
2006-07-01,26.619,0.353,Amazonas,Brazil
2006-08-01,27.271,0.415,Amazonas,Brazil
2006-09-01,27.682,0.401,Amazonas,Brazil
2006-10-01,27.684,0.197,Amazonas,Brazil
2006-11-01,26.98,0.269,Amazonas,Brazil
2006-12-01,26.999,0.24,Amazonas,Brazil
2007-01-01,27.004,0.116,Amazonas,Brazil
2007-02-01,27.562,0.18,Amazonas,Brazil
2007-03-01,26.619,0.249,Amazonas,Brazil
2007-04-01,26.555999999999997,0.2,Amazonas,Brazil
2007-05-01,26.269,0.202,Amazonas,Brazil
2007-06-01,26.499,0.445,Amazonas,Brazil
2007-07-01,26.679,0.22,Amazonas,Brazil
2007-08-01,27.055999999999997,0.148,Amazonas,Brazil
2007-09-01,27.494,0.21,Amazonas,Brazil
2007-10-01,27.185,0.235,Amazonas,Brazil
2007-11-01,27.231,0.329,Amazonas,Brazil
2007-12-01,26.48,0.135,Amazonas,Brazil
2008-01-01,26.269,0.196,Amazonas,Brazil
2008-02-01,26.154,0.252,Amazonas,Brazil
2008-03-01,26.368,0.291,Amazonas,Brazil
2008-04-01,26.438,0.181,Amazonas,Brazil
2008-05-01,25.921000000000006,0.145,Amazonas,Brazil
2008-06-01,25.747,0.26,Amazonas,Brazil
2008-07-01,26.913,0.267,Amazonas,Brazil
2008-08-01,27.700000000000006,0.262,Amazonas,Brazil
2008-09-01,27.353,0.429,Amazonas,Brazil
2008-10-01,27.158,0.173,Amazonas,Brazil
2008-11-01,27.261000000000006,0.1669999999999999,Amazonas,Brazil
2008-12-01,26.522,0.192,Amazonas,Brazil
2009-01-01,26.312,0.138,Amazonas,Brazil
2009-02-01,26.265,0.216,Amazonas,Brazil
2009-03-01,26.455,0.145,Amazonas,Brazil
2009-04-01,26.438,0.202,Amazonas,Brazil
2009-05-01,26.543000000000006,0.386,Amazonas,Brazil
2009-06-01,25.937,0.179,Amazonas,Brazil
2009-07-01,26.747,0.223,Amazonas,Brazil
2009-08-01,27.671,0.21,Amazonas,Brazil
2009-09-01,28.232,0.303,Amazonas,Brazil
2009-10-01,27.758000000000003,0.26,Amazonas,Brazil
2009-11-01,28.074,0.217,Amazonas,Brazil
2009-12-01,26.741,0.193,Amazonas,Brazil
2010-01-01,26.954,0.182,Amazonas,Brazil
2010-02-01,27.28700000000001,0.229,Amazonas,Brazil
2010-03-01,27.63,0.237,Amazonas,Brazil
2010-04-01,26.883000000000003,0.252,Amazonas,Brazil
2010-05-01,26.837,0.216,Amazonas,Brazil
2010-06-01,26.963,0.377,Amazonas,Brazil
2010-07-01,26.055,0.193,Amazonas,Brazil
2010-08-01,27.394,0.312,Amazonas,Brazil
2010-09-01,28.087,0.368,Amazonas,Brazil
2010-10-01,27.576,0.278,Amazonas,Brazil
2010-11-01,27.128,0.244,Amazonas,Brazil
2010-12-01,26.669,0.235,Amazonas,Brazil
2011-01-01,26.195,0.249,Amazonas,Brazil
2011-02-01,26.14,0.261,Amazonas,Brazil
2011-03-01,26.301,0.178,Amazonas,Brazil
2011-04-01,26.312,0.26,Amazonas,Brazil
2011-05-01,26.369,0.281,Amazonas,Brazil
2011-06-01,26.735,0.315,Amazonas,Brazil
2011-07-01,26.87,0.29,Amazonas,Brazil
2011-08-01,27.668000000000003,0.254,Amazonas,Brazil
2011-09-01,27.694000000000003,0.243,Amazonas,Brazil
2011-10-01,27.237,0.117,Amazonas,Brazil
2011-11-01,27.189,0.349,Amazonas,Brazil
2011-12-01,26.838,0.347,Amazonas,Brazil
2012-01-01,26.07,0.269,Amazonas,Brazil
2012-02-01,25.864,0.217,Amazonas,Brazil
2012-03-01,26.151999999999997,0.198,Amazonas,Brazil
2012-04-01,26.383000000000003,0.292,Amazonas,Brazil
2012-05-01,26.639000000000006,0.225,Amazonas,Brazil
2012-06-01,26.768,0.369,Amazonas,Brazil
2012-07-01,26.491,0.344,Amazonas,Brazil
2012-08-01,27.302,0.334,Amazonas,Brazil
2012-09-01,27.873,0.25,Amazonas,Brazil
2012-10-01,27.737,0.429,Amazonas,Brazil
2012-11-01,27.748,0.369,Amazonas,Brazil
2012-12-01,26.747,0.56,Amazonas,Brazil
2013-01-01,26.929,0.314,Amazonas,Brazil
2013-02-01,26.454,0.279,Amazonas,Brazil
2013-03-01,26.925,0.398,Amazonas,Brazil
2013-04-01,26.783,0.285,Amazonas,Brazil
2013-05-01,26.719,0.279,Amazonas,Brazil
2013-06-01,27.076,0.404,Amazonas,Brazil
2013-07-01,26.372,0.278,Amazonas,Brazil
2013-08-01,26.744,0.266,Amazonas,Brazil
2013-09-01,,,Amazonas,Brazil
